timestamp,source_events,e_net,f_net,threshold,previous_target,target_position,reason
2026-08-26 10:30:24,CFCWIN01m 0→1,1,1,2,0,0,E淨部位1、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-26 10:45:04,CFCPW3m 0→1,1,2,2,0,0,E淨部位1、F淨部位2，未形成雙方至少2票的同向強共識
2026-08-26 11:15:24,CFCTX23m 0→-1,1,1,2,0,0,E淨部位1、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-26 11:37:34,CFC07m 0→1,2,1,2,0,0,E淨部位2、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-26 11:40:13,CFCTX16m 0→1,2,2,2,0,1,E淨部位2、F淨部位2，兩組皆達多方強共識門檻2
2026-08-26 20:00:48,CFCTX22m 0→1,2,3,2,0,1,E淨部位2、F淨部位3，兩組皆達多方強共識門檻2
2026-08-26 20:30:24,CFCTX18m 0→-1,1,3,2,0,0,E淨部位1、F淨部位3，未形成雙方至少2票的同向強共識
2026-08-26 20:52:46,CFCTX16m 1→0,1,2,2,0,0,E淨部位1、F淨部位2，未形成雙方至少2票的同向強共識
2026-08-26 22:22:36,CFC07m 1→0,0,2,2,0,0,E淨部位0、F淨部位2，未形成雙方至少2票的同向強共識
2026-08-26 22:26:32,CFCWIN01m 1→0,0,1,2,0,0,E淨部位0、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-26 22:37:13,CFCTX16m 0→-1,0,0,2,0,0,E淨部位0、F淨部位0，未形成雙方至少2票的同向強共識
2026-08-26 23:02:06,CFC07m 0→-1,-1,0,2,0,0,E淨部位-1、F淨部位0，未形成雙方至少2票的同向強共識
2026-08-27 01:34:50,CFCTX18m -1→0,0,0,2,0,0,E淨部位0、F淨部位0，未形成雙方至少2票的同向強共識
2026-08-27 04:00:03,CFCTX16m -1→0,0,1,2,0,0,E淨部位0、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-27 04:21:48,CFCTX21m 0→1,1,1,2,0,0,E淨部位1、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-27 08:45:05,CFC07m -1→0,2,1,2,0,0,E淨部位2、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-27 09:06:51,CFCTX23m -1→0,2,2,2,0,1,E淨部位2、F淨部位2，兩組皆達多方強共識門檻2
2026-08-27 09:14:26,CFCTX22m 1→0,2,1,2,0,0,E淨部位2、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-27 09:37:36,CFC07m 0→1,3,1,2,0,0,E淨部位3、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-27 09:40:41,CFCTX16m 0→1,3,2,2,0,1,E淨部位3、F淨部位2，兩組皆達多方強共識門檻2
2026-08-27 11:22:36,CFCWIN01m 0→1,3,3,2,0,1,E淨部位3、F淨部位3，兩組皆達多方強共識門檻2
2026-08-27 12:40:02,CFCCPm 0→-1,3,2,2,0,1,E淨部位3、F淨部位2，兩組皆達多方強共識門檻2
2026-08-27 13:15:03,CFCTX18m 0→-1,2,2,2,0,1,E淨部位2、F淨部位2，兩組皆達多方強共識門檻2
2026-08-27 13:19:57,CFCPW3m 1→0,2,1,2,0,0,E淨部位2、F淨部位1，未形成雙方至少2票的同向強共識
